,timestamp,x_seq,y_seq,yaw_seq,vx,yaw_rate
300,158195005351,3792.58,-2643.14,-2.9194121,4.505,0.005410521
301,158195015348,3792.54,-2643.15,-2.9194121,4.5,0.0062831854
302,158195025355,3792.49,-2643.16,-2.9192376,4.5,0.005934119
303,158195035348,3792.45,-2643.17,-2.9192376,4.495,0.0068067843
304,158195045360,3792.41,-2643.18,-2.9192376,4.49,0.006981317
305,158195055366,3792.36,-2643.19,-2.919063,4.485,0.007679449
306,158195065375,3792.32,-2643.2,-2.919063,4.485,0.007853982
307,158195075361,3792.28,-2643.21,-2.9188886,4.48,0.007853982
308,158195085364,3792.23,-2643.22,-2.9188886,4.475,0.008028515
309,158195095380,3792.19,-2643.23,-2.919063,4.47,0.008552114
310,158195105404,3792.15,-2643.24,-2.9188886,4.465,0.008552114
311,158195115349,3792.1,-2643.25,-2.9188886,4.46,0.008901179
312,158195125357,3792.06,-2643.26,-2.918714,4.46,0.009075712
313,158195135355,3792.01,-2643.27,-2.918714,4.455,0.009250245
314,158195145359,3791.97,-2643.28,-2.9185395,4.45,0.009424778
315,158195155348,3791.93,-2643.29,-2.9185395,4.445,0.009599311
316,158195165356,3791.88,-2643.3,-2.918365,4.445,0.009075712
317,158195175354,3791.84,-2643.31,-2.918365,4.44,0.009075712
318,158195185366,3791.8,-2643.32,-2.9181905,4.435,0.008901179
319,158195195351,3791.75,-2643.33,-2.918016,4.43,0.008726646
320,158195205349,3791.71,-2643.34,-2.918016,4.43,0.008726646
321,158195215348,3791.67,-2643.35,-2.9178414,4.43,0.00837758
322,158195225348,3791.62,-2643.36,-2.9178414,4.425,0.008552114
323,158195235350,3791.58,-2643.37,-2.917667,4.42,0.007504916
324,158195245372,3791.54,-2643.38,-2.917667,4.42,0.007853982
325,158195255370,3791.5,-2643.39,-2.917667,4.42,0.008028515
326,158195265358,3791.45,-2643.4,-2.9174924,4.415,0.007504916
327,158195275359,3791.41,-2643.41,-2.9174924,4.415,0.007853982
328,158195285360,3791.37,-2643.42,-2.9174924,4.41,0.0073303827
329,158195295357,3791.32,-2643.43,-2.9173179,4.405,0.007679449
330,158195305359,3791.28,-2643.44,-2.9171433,4.405,0.007679449
331,158195315361,3791.24,-2643.45,-2.9171433,4.4,0.007679449
332,158195325349,3791.19,-2643.46,-2.9169688,4.4,0.008028515
333,158195335348,3791.15,-2643.47,-2.9169688,4.395,0.007853982
334,158195345349,3791.11,-2643.48,-2.9167943,4.39,0.007679449
335,158195355348,3791.07,-2643.49,-2.9167943,4.39,0.007853982
336,158195365349,3791.02,-2643.5,-2.9166198,4.385,0.008552114
337,158195375348,3790.98,-2643.51,-2.9166198,4.385,0.008552114
338,158195385348,3790.94,-2643.52,-2.9164453,4.38,0.008901179
339,158195395346,3790.9,-2643.53,-2.9164453,4.38,0.008552114
340,158195405349,3790.85,-2643.54,-2.9162707,4.38,0.008901179
341,158195415348,3790.81,-2643.55,-2.9162707,4.375,0.008901179
342,158195425349,3790.77,-2643.56,-2.9160962,4.375,0.009250245
343,158195435362,3790.72,-2643.57,-2.9160962,4.37,0.008901179
344,158195445372,3790.68,-2643.58,-2.9159217,4.37,0.009599311
345,158195455407,3790.64,-2643.59,-2.9159217,4.365,0.009250245
346,158195465392,3790.6,-2643.6,-2.9157472,4.365,0.009424778
347,158195475346,3790.55,-2643.61,-2.9155724,4.36,0.009424778
348,158195485359,3790.51,-2643.62,-2.9155724,4.355,0.009250245
349,158195495350,3790.47,-2643.63,-2.915398,4.355,0.009424778
350,158195505353,3790.43,-2643.64,-2.915398,4.35,0.009250245
351,158195515349,3790.39,-2643.65,-2.9152234,4.345,0.008901179
352,158195525349,3790.34,-2643.66,-2.9152234,4.345,0.008726646
353,158195535349,3790.3,-2643.67,-2.9150488,4.34,0.007853982
354,158195545379,3790.26,-2643.68,-2.9150488,4.335,0.00837758
355,158195555348,3790.22,-2643.69,-2.9148743,4.335,0.008203047
356,158195565373,3790.17,-2643.7,-2.9148743,4.33,0.008028515
357,158195575362,3790.13,-2643.71,-2.9146998,4.325,0.007853982
358,158195585366,3790.09,-2643.72,-2.9146998,4.325,0.0073303827
359,158195595349,3790.05,-2643.73,-2.9146998,4.32,0.007504916
360,158195605351,3790.01,-2643.74,-2.9145253,4.315,0.007679449
361,158195615353,3789.96,-2643.75,-2.9145253,4.315,0.007853982
362,158195625354,3789.92,-2643.76,-2.9143507,4.31,0.007853982
363,158195635346,3789.88,-2643.77,-2.9143507,4.31,0.008203047
364,158195645349,3789.84,-2643.78,-2.9141762,4.305,0.00837758
365,158195655354,3789.8,-2643.79,-2.9141762,4.305,0.008726646
366,158195665348,3789.75,-2643.8,-2.9140017,4.3,0.009075712
367,158195675349,3789.71,-2643.81,-2.9140017,4.3,0.009075712
368,158195685350,3789.67,-2643.82,-2.9138272,4.295,0.009773844
369,158195695350,3789.63,-2643.83,-2.9136527,4.295,0.009948377
370,158195705348,3789.59,-2643.84,-2.9136527,4.29,0.009948377
371,158195715348,3789.54,-2643.85,-2.9134781,4.285,0.010297443
372,158195725350,3789.5,-2643.86,-2.9134781,4.285,0.010297443
373,158195735370,3789.46,-2643.87,-2.9133036,4.28,0.010471975
374,158195745372,3789.42,-2643.88,-2.913129,4.275,0.010821042
375,158195755348,3789.38,-2643.89,-2.913129,4.275,0.010821042
376,158195765349,3789.34,-2643.9,-2.9129546,4.27,0.011693706
377,158195775348,3789.3,-2643.91,-2.9129546,4.265,0.010821042
378,158195785350,3789.25,-2643.91,-2.91278,4.265,0.011693706
379,158195795349,3789.21,-2643.92,-2.9126055,4.26,0.0113446405
380,158195805350,3789.17,-2643.93,-2.9126055,4.26,0.010821042
381,158195815352,3789.13,-2643.94,-2.912431,4.255,0.011519173
382,158195825349,3789.09,-2643.95,-2.912431,4.255,0.011519173
383,158195835370,3789.05,-2643.96,-2.9122565,4.25,0.011868238
384,158195845348,3789.01,-2643.97,-2.912082,4.245,0.0113446405
385,158195855348,3788.96,-2643.98,-2.912082,4.245,0.011693706
386,158195865348,3788.92,-2643.99,-2.9119074,4.24,0.010995574
